CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also
CVE-2022-10073,6.0,Medium,192.168.1.54,TCP,8080,Vulnerability A,Synopsis A,Description A,Solution A,http://example.com/CVE-2022-10073
CVE-2022-10057,7.0,Low,192.168.1.27,UDP,22,Vulnerability B,Synopsis B,Description B,Solution B,http://example.com/CVE-2022-10057
CVE-2022-10009,3.7,Low,192.168.1.36,UDP,3306,Vulnerability C,Synopsis C,Description C,Solution C,http://example.com/CVE-2022-10009
CVE-2022-10000,2.2,Low,192.168.1.31,TCP,8080,Vulnerability D,Synopsis D,Description D,Solution D,http://example.com/CVE-2022-10000
CVE-2022-10010,8.7,High,192.168.1.40,TCP,22,Vulnerability E,Synopsis E,Description E,Solution E,http://example.com/CVE-2022-10010
CVE-2022-10094,5.8,Critical,192.168.1.42,TCP,80,Vulnerability F,Synopsis F,Description F,Solution F,http://example.com/CVE-2022-10094
CVE-2022-10043,2.0,Medium,192.168.1.18,TCP,443,Vulnerability G,Synopsis G,Description G,Solution G,http://example.com/CVE-2022-10043
CVE-2022-10009,9.1,Critical,192.168.1.45,UDP,22,Vulnerability H,Synopsis H,Description H,Solution H,http://example.com/CVE-2022-10009
CVE-2022-10031,2.2,Low,192.168.1.29,TCP,80,Vulnerability I,Synopsis I,Description I,Solution I,http://example.com/CVE-2022-10031
CVE-2022-10045,5.7,Critical,192.168.1.36,TCP,80,Vulnerability J,Synopsis J,Description J,Solution J,http://example.com/CVE-2022-10045
CVE-2022-10073,4.4,High,192.168.1.46,UDP,80,Vulnerability K,Synopsis K,Description K,Solution K,http://example.com/CVE-2022-10073
CVE-2022-10004,6.9,High,192.168.1.13,TCP,443,Vulnerability L,Synopsis L,Description L,Solution L,http://example.com/CVE-2022-10004
CVE-2022-10089,4.9,Low,192.168.1.44,TCP,22,Vulnerability M,Synopsis M,Description M,Solution M,http://example.com/CVE-2022-10089
CVE-2022-10017,3.2,High,192.168.1.24,UDP,22,Vulnerability N,Synopsis N,Description N,Solution N,http://example.com/CVE-2022-10017
CVE-2022-10079,8.4,High,192.168.1.41,UDP,443,Vulnerability O,Synopsis O,Description O,Solution O,http://example.com/CVE-2022-10079
CVE-2022-10032,2.3,High,192.168.1.13,UDP,3306,Vulnerability P,Synopsis P,Description P,Solution P,http://example.com/CVE-2022-10032
CVE-2022-10010,9.9,Medium,192.168.1.14,UDP,80,Vulnerability Q,Synopsis Q,Description Q,Solution Q,http://example.com/CVE-2022-10010
CVE-2022-10045,9.0,Critical,192.168.1.30,UDP,22,Vulnerability R,Synopsis R,Description R,Solution R,http://example.com/CVE-2022-10045
CVE-2022-10095,8.8,Low,192.168.1.10,TCP,3306,Vulnerability S,Synopsis S,Description S,Solution S,http://example.com/CVE-2022-10095
CVE-2022-10046,8.4,Low,192.168.1.33,UDP,80,Vulnerability T,Synopsis T,Description T,Solution T,http://example.com/CVE-2022-10046
CVE-2022-10033,6.7,Medium,192.168.1.17,UDP,22,Vulnerability U,Synopsis U,Description U,Solution U,http://example.com/CVE-2022-10033
CVE-2022-10058,6.9,Critical,192.168.1.45,UDP,443,Vulnerability V,Synopsis V,Description V,Solution V,http://example.com/CVE-2022-10058
CVE-2022-10076,5.0,Low,192.168.1.40,TCP,443,Vulnerability W,Synopsis W,Description W,Solution W,http://example.com/CVE-2022-10076
CVE-2022-10067,6.7,Critical,192.168.1.48,UDP,22,Vulnerability X,Synopsis X,Description X,Solution X,http://example.com/CVE-2022-10067
CVE-2022-10069,10.0,Low,192.168.1.41,TCP,3306,Vulnerability Y,Synopsis Y,Description Y,Solution Y,http://example.com/CVE-2022-10069
CVE-2022-10002,3.4,High,192.168.1.53,UDP,22,Vulnerability Z,Synopsis Z,Description Z,Solution Z,http://example.com/CVE-2022-10002
CVE-2022-10024,5.4,Medium,192.168.1.50,UDP,22,Vulnerability A,Synopsis A,Description A,Solution A,http://example.com/CVE-2022-10024
CVE-2022-10074,9.3,Medium,192.168.1.24,TCP,8080,Vulnerability B,Synopsis B,Description B,Solution B,http://example.com/CVE-2022-10074
CVE-2022-10067,7.1,Critical,192.168.1.21,TCP,443,Vulnerability C,Synopsis C,Description C,Solution C,http://example.com/CVE-2022-10067
CVE-2022-10045,6.9,Critical,192.168.1.44,UDP,22,Vulnerability D,Synopsis D,Description D,Solution D,http://example.com/CVE-2022-10045
CVE-2022-10058,9.6,Medium,192.168.1.22,UDP,80,Vulnerability E,Synopsis E,Description E,Solution E,http://example.com/CVE-2022-10058
CVE-2022-10010,6.3,Medium,192.168.1.49,UDP,8080,Vulnerability F,Synopsis F,Description F,Solution F,http://example.com/CVE-2022-10010
CVE-2022-10036,8.9,High,192.168.1.47,TCP,80,Vulnerability G,Synopsis G,Description G,Solution G,http://example.com/CVE-2022-10036
CVE-2022-10005,5.0,Critical,192.168.1.59,UDP,80,Vulnerability H,Synopsis H,Description H,Solution H,http://example.com/CVE-2022-10005
CVE-2022-10025,5.5,Critical,192.168.1.54,UDP,80,Vulnerability I,Synopsis I,Description I,Solution I,http://example.com/CVE-2022-10025
CVE-2022-10078,6.0,High,192.168.1.54,TCP,3306,Vulnerability J,Synopsis J,Description J,Solution J,http://example.com/CVE-2022-10078
CVE-2022-10084,6.9,Medium,192.168.1.10,TCP,22,Vulnerability K,Synopsis K,Description K,Solution K,http://example.com/CVE-2022-10084
CVE-2022-10085,2.7,Critical,192.168.1.38,UDP,80,Vulnerability L,Synopsis L,Description L,Solution L,http://example.com/CVE-2022-10085
CVE-2022-10048,6.9,Critical,192.168.1.28,UDP,80,Vulnerability M,Synopsis M,Description M,Solution M,http://example.com/CVE-2022-10048
CVE-2022-10026,3.6,Low,192.168.1.56,UDP,80,Vulnerability N,Synopsis N,Description N,Solution N,http://example.com/CVE-2022-10026
CVE-2022-10075,5.3,Critical,192.168.1.45,TCP,3306,Vulnerability O,Synopsis O,Description O,Solution O,http://example.com/CVE-2022-10075
CVE-2022-10097,3.7,Low,192.168.1.15,TCP,443,Vulnerability P,Synopsis P,Description P,Solution P,http://example.com/CVE-2022-10097
CVE-2022-10024,4.9,Critical,192.168.1.18,UDP,80,Vulnerability Q,Synopsis Q,Description Q,Solution Q,http://example.com/CVE-2022-10024
CVE-2022-10077,3.1,Low,192.168.1.47,UDP,443,Vulnerability R,Synopsis R,Description R,Solution R,http://example.com/CVE-2022-10077
CVE-2022-10090,7.4,Critical,192.168.1.14,UDP,80,Vulnerability S,Synopsis S,Description S,Solution S,http://example.com/CVE-2022-10090
CVE-2022-10013,8.9,Critical,192.168.1.56,UDP,3306,Vulnerability T,Synopsis T,Description T,Solution T,http://example.com/CVE-2022-10013
CVE-2022-10087,9.0,Critical,192.168.1.12,UDP,443,Vulnerability U,Synopsis U,Description U,Solution U,http://example.com/CVE-2022-10087
CVE-2022-10063,4.3,High,192.168.1.30,TCP,3306,Vulnerability V,Synopsis V,Description V,Solution V,http://example.com/CVE-2022-10063
CVE-2022-10070,8.4,High,192.168.1.33,TCP,80,Vulnerability W,Synopsis W,Description W,Solution W,http://example.com/CVE-2022-10070
CVE-2022-10001,8.5,High,192.168.1.26,TCP,22,Vulnerability X,Synopsis X,Description X,Solution X,http://example.com/CVE-2022-10001
